SubmitTime,UserID,Used Memory,RunTime
1151661926,12,20748,84
1142751649,9,573776,32070
1146425055,19,588052,1451
1145470841,10,583432,62348
1151736017,12,79244,75
1139585235,8,571968,50196
1149486559,19,606860,5936
1152343842,12,1371064,35838
1150068519,8,60300,171
1147673607,13,16436,52
1151753480,12,25676,65
1151738420,12,25644,64
1148683603,19,599856,5965
1151656131,9,60788,956
1150985007,13,600904,44795
1151433256,12,74952,1848
1148061935,13,80316,333
1141543280,8,589996,33891
1148940711,19,598272,5945
1151715544,12,25664,60
1151726805,12,79204,60
1153061082,12,1107408,15000
1151938233,12,86424,190
1141020417,8,569288,30656
1146211203,19,598776,26262
1147952891,13,582224,18948
1147680138,13,60392,164
1151939554,12,592964,32154
1154601976,12,81872,2183
1148075764,21,618120,32212
1152730434,2,569052,173073
1146423239,19,588304,1441
1151915073,12,76572,1852
1145563176,10,584704,70410
1151265408,13,596396,42245
1145178056,13,69032,3682
1149710075,13,1189732,31079
1151420779,12,595800,32260
1146723584,8,68776,2171
1150441576,21,645688,24075
1139348017,7,555472,3439
1148592939,13,25680,60
1149767659,21,627684,24568
1153006675,12,596580,46362
1153754751,9,61680,1156
1141659867,9,0,1
1146450713,19,588136,1427
1140676354,8,567500,33466
1146023451,13,583400,29179
1150983005,13,1636752,37343
1141022717,8,568992,27333
1151621120,12,74804,75
1145916337,13,575396,29076
1149838291,21,82184,4309
1146576358,13,62924,53
1148032866,13,601480,16805
1140636359,7,579600,42973
1149621192,13,600292,36871
1151708754,12,20728,77
1147371696,13,598268,16139
1151543962,12,1550216,36256
1148232236,19,81732,5607
1148835692,19,598892,5931
1151438028,12,598604,30607
1151652375,9,20276,57
1153725823,2,67232,431
1149752776,19,617296,25220
1147673603,8,590092,48209
1152344265,12,87640,10169
1152613026,2,582136,39910
1151628625,12,79228,84
1147703183,13,597904,40652
1147715948,13,1569060,36835
1151627886,12,74820,69
1154443242,12,81520,1882
1141113946,8,577324,51556
1152880631,12,602248,43334
1154551729,12,595168,173227
1148091835,13,95036,3586
1151457872,9,581436,36924
1151742073,9,60132,69
1147715997,13,107224,2356
1149587612,19,615036,22465
1145332369,19,600688,38847
1153749535,12,84844,10992
1144522721,12,586776,27378
1152691390,12,1557548,36087
1149455970,13,603172,42787
1153750404,12,80260,234
1149552760,13,595004,34920
1151616218,12,67892,1914
1150827392,13,617376,46054
1146414477,19,582592,1655
1151262976,13,933176,1482
