SubmitTime,UserID,Used Memory,OrigSiteID,GroupID,RunTime
1136293860,U2003S1,59608,clrlcgce02,G3,1851
1136293860,U2003S1,59860,clrlcgce02,G3,1851
1136293860,U2003S1,57148,clrlcgce02,G3,1851
1136293862,U2003S1,59916,clrlcgce02,G3,1850
1136293862,U2003S1,57708,clrlcgce02,G3,1850
1136293865,U2003S1,59900,clrlcgce02,G3,1850
1136293865,U2003S1,59612,clrlcgce02,G3,1850
1136293917,U2003S1,57088,clrlcgce02,G3,1850
1136293920,U2003S1,59932,clrlcgce02,G3,1850
1136294157,U2003S1,59896,clrlcgce02,G3,1852
1136294162,U2003S1,57156,clrlcgce02,G3,1850
1136294162,U2003S1,57028,clrlcgce02,G3,1850
1136294162,U2003S1,57200,clrlcgce02,G3,1850
1136294164,U2003S1,57080,clrlcgce02,G3,1850
1136294457,U2003S1,57184,clrlcgce02,G3,1850
1136294462,U2003S1,59948,clrlcgce02,G3,1851
1136294462,U2003S1,59836,clrlcgce02,G3,1851
1136294463,U2003S1,57132,clrlcgce02,G3,1854
1136294464,U2003S1,57044,clrlcgce02,G3,1853
1136294516,U2003S1,57164,clrlcgce02,G3,1849
1136294878,U2003S1,59592,clrlcgce02,G3,1850
1136294886,U2003S1,59600,clrlcgce02,G3,1851
1136294886,U2003S1,59844,clrlcgce02,G3,1851
1136294886,U2003S1,57152,clrlcgce02,G3,1850
1136294888,U2003S1,57148,clrlcgce02,G3,1854
1136294888,U2003S1,58740,clrlcgce02,G3,1851
1136294888,U2003S1,57136,clrlcgce02,G3,1854
1136294891,U2003S1,57176,clrlcgce02,G3,1853
1136294891,U2003S1,57136,clrlcgce02,G3,1854
1136294891,U2003S1,59880,clrlcgce02,G3,1850
1136295058,U2003S1,59852,clrlcgce02,G3,1851
1136295062,U2003S1,59908,clrlcgce02,G3,1851
1136295062,U2003S1,59892,clrlcgce02,G3,1851
1136295062,U2003S1,59868,clrlcgce02,G3,1851
1136295359,U2003S1,59920,clrlcgce02,G3,1852
1136295717,U2003S1,59908,clrlcgce02,G3,1853
1136296258,U2003S1,59952,clrlcgce02,G3,1856
1136296258,U2003S1,69280,clrlcgce02,G3,1856
1136296258,U2003S1,59816,clrlcgce02,G3,1856
1136296260,U2003S1,57088,clrlcgce02,G3,1854
1136296260,U2003S1,57004,clrlcgce02,G3,1853
1136296260,U2003S1,59912,clrlcgce02,G3,1853
1136296318,U2003S1,57156,clrlcgce02,G3,1850
1136296318,U2003S1,59888,clrlcgce02,G3,1850
1136296498,U2003S1,62376,clrlcgce02,G3,1853
1136296503,U2003S1,57192,clrlcgce02,G3,1850
1136296503,U2003S1,57128,clrlcgce02,G3,1851
1136296504,U2003S1,57180,clrlcgce02,G3,1850
1136296505,U2003S1,57224,clrlcgce02,G3,1851
1136296677,U2003S1,59940,clrlcgce02,G3,1849
1136296677,U2003S1,59476,clrlcgce02,G3,1850
1136297076,U2003S1,59660,clrlcgce02,G3,1850
1136297076,U2003S1,59972,clrlcgce02,G3,1850
1136297076,U2003S1,59888,clrlcgce02,G3,1850
1136297078,U2003S1,59912,clrlcgce02,G3,1851
1136297078,U2003S1,57156,clrlcgce02,G3,1850
1136297080,U2003S1,59856,clrlcgce02,G3,1851
1136297551,U2003S1,59900,clrlcgce02,G3,1853
1136297552,U2003S1,59880,clrlcgce02,G3,1853
1136297552,U2003S1,59904,clrlcgce02,G3,1853
1136297733,U2003S1,59880,clrlcgce02,G3,1850
1136297738,U2003S1,57176,clrlcgce02,G3,1851
1136297738,U2003S1,57120,clrlcgce02,G3,1851
1136297738,U2003S1,57156,clrlcgce02,G3,1851
1136297739,U2003S1,60500,clrlcgce02,G3,1853
1136298213,U2003S1,59848,clrlcgce02,G3,1850
1136298214,U2003S1,57152,clrlcgce02,G3,1850
1136298214,U2003S1,59836,clrlcgce02,G3,1850
1136298216,U2003S1,59852,clrlcgce02,G3,1850
1136298216,U2003S1,59880,clrlcgce02,G3,1850
1136298274,U2003S1,57160,clrlcgce02,G3,1850
1136298633,U2003S1,57188,clrlcgce02,G3,1850
1136298638,U2003S1,58688,clrlcgce02,G3,1850
1136298638,U2003S1,57152,clrlcgce02,G3,1850
1136298638,U2003S1,57172,clrlcgce02,G3,1850
1136298640,U2003S1,59940,clrlcgce02,G3,1850
1136299112,U2003S1,57124,clrlcgce02,G3,1854
1136299117,U2003S1,57192,clrlcgce02,G3,1850
1136299117,U2003S1,57164,clrlcgce02,G3,1850
1136299117,U2003S1,57132,clrlcgce02,G3,1851
1136299119,U2003S1,59896,clrlcgce02,G3,1850
1136299231,U2003S1,59864,clrlcgce02,G3,1851
1136299833,U2003S1,57160,clrlcgce02,G3,1850
1136299839,U2003S1,57152,clrlcgce02,G3,1850
1136299839,U2003S1,57164,clrlcgce02,G3,1850
1136299839,U2003S1,59888,clrlcgce02,G3,1850
1136299841,U2003S1,57168,clrlcgce02,G3,1850
1136299841,U2003S1,57148,clrlcgce02,G3,1850
1136300192,U2003S1,57176,clrlcgce02,G3,1855
1136300196,U2003S1,59892,clrlcgce02,G3,1857
1136300196,U2003S1,59832,clrlcgce02,G3,1850
1136300196,U2003S1,57112,clrlcgce02,G3,1857
1136300585,U2003S1,59900,clrlcgce02,G3,1852
1136300764,U2003S1,57156,clrlcgce02,G3,1851
1136301424,U2003S1,57176,clrlcgce02,G3,1855
1136301424,U2003S1,59836,clrlcgce02,G3,1852
1136301424,U2003S1,62412,clrlcgce02,G3,1853
1136301426,U2003S1,57124,clrlcgce02,G3,1852
1136301426,U2003S1,59864,clrlcgce02,G3,1852
1136301845,U2003S1,57160,clrlcgce02,G3,1851
1136302265,U2003S1,59924,clrlcgce02,G3,1852
1136302269,U2003S1,59916,clrlcgce02,G3,1851
1136323514,U2003S1,945168,clrlcgce02,G3,512
1136323519,U2003S1,951836,clrlcgce02,G3,537
1136323519,U2003S1,951160,clrlcgce02,G3,537
1136323519,U2003S1,945324,clrlcgce02,G3,507
1136323521,U2003S1,952876,clrlcgce02,G3,505
1136323813,U2003S1,934532,clrlcgce02,G3,449
1136323820,U2003S1,937264,clrlcgce02,G3,442
1136323820,U2003S1,931748,clrlcgce02,G3,510
1136323820,U2003S1,949632,clrlcgce02,G3,546
1136323822,U2003S1,967128,clrlcgce02,G3,508
1136323823,U2003S1,934340,clrlcgce02,G3,508
1136323823,U2003S1,927036,clrlcgce02,G3,427
1136323825,U2003S1,950312,clrlcgce02,G3,506
1136323825,U2003S1,941324,clrlcgce02,G3,482
1136323825,U2003S1,946152,clrlcgce02,G3,482
1136324114,U2003S1,930456,clrlcgce02,G3,422
1136324120,U2003S1,959192,clrlcgce02,G3,526
1136324120,U2003S1,948224,clrlcgce02,G3,487
1136324120,U2003S1,930884,clrlcgce02,G3,415
1136324121,U2003S1,915976,clrlcgce02,G3,450
1136324421,U2003S1,940856,clrlcgce02,G3,446
1136324421,U2003S1,950696,clrlcgce02,G3,535
1136324421,U2003S1,919156,clrlcgce02,G3,405
1136324423,U2003S1,935208,clrlcgce02,G3,443
1136324423,U2003S1,951772,clrlcgce02,G3,509
1136324425,U2003S1,959376,clrlcgce02,G3,506
1136324425,U2003S1,953172,clrlcgce02,G3,506
1136324425,U2003S1,934876,clrlcgce02,G3,512
1136324427,U2003S1,946896,clrlcgce02,G3,512
1136324427,U2003S1,929272,clrlcgce02,G3,477
1136324474,U2003S1,960236,clrlcgce02,G3,480
1136324478,U2003S1,940360,clrlcgce02,G3,478
1136324834,U2003S1,966348,clrlcgce02,G3,507
1136324840,U2003S1,924668,clrlcgce02,G3,454
1136324840,U2003S1,943700,clrlcgce02,G3,515
1136324840,U2003S1,949360,clrlcgce02,G3,503
1136324842,U2003S1,948824,clrlcgce02,G3,503
1136324842,U2003S1,955048,clrlcgce02,G3,609
1136324843,U2003S1,953140,clrlcgce02,G3,478
1136324844,U2003S1,961244,clrlcgce02,G3,514
1136325134,U2003S1,958392,clrlcgce02,G3,474
1136325141,U2003S1,959872,clrlcgce02,G3,463
1136325142,U2003S1,958208,clrlcgce02,G3,502
1136325142,U2003S1,955396,clrlcgce02,G3,502
1136325143,U2003S1,946872,clrlcgce02,G3,489
1136325144,U2003S1,950312,clrlcgce02,G3,505
1136325144,U2003S1,877040,clrlcgce02,G3,619
1136325145,U2003S1,934140,clrlcgce02,G3,470
1136325374,U2003S1,957636,clrlcgce02,G3,513
1136325553,U2003S1,961860,clrlcgce02,G3,512
1136325553,U2003S1,948260,clrlcgce02,G3,485
1136325553,U2003S1,943188,clrlcgce02,G3,485
1136325554,U2003S1,968292,clrlcgce02,G3,485
1136325794,U2003S1,949840,clrlcgce02,G3,484
1136326513,U2003S1,947888,clrlcgce02,G3,510
1136326513,U2003S1,956072,clrlcgce02,G3,499
1136326513,U2003S1,948196,clrlcgce02,G3,496
1136326515,U2003S1,959016,clrlcgce02,G3,495
