SubmitTime,Used Memory,AverageCPUTimeUsed,RunTime,OrigSiteID_1,OrigSiteID_2,OrigSiteID_3
1151657328,584560,39614,40571,0.0,0.0,0.0
1149395095,599948,48231,49247,0.0,1.0,0.0
1151734609,25672,8,56,0.0,1.0,0.0
1152446816,0,1,2,0.0,1.0,0.0
1146182846,62220,22,3684,1.0,0.0,0.0
1150027390,584752,172879,173328,0.0,1.0,0.0
1151650843,56536,9,45,1.0,0.0,0.0
1145723297,597188,20767,21504,0.0,1.0,0.0
1152298198,1590484,27347,28975,0.0,1.0,0.0
1149577060,594796,32250,33063,0.0,1.0,0.0
1150536685,643600,32653,33114,1.0,0.0,0.0
1151734605,25660,8,54,0.0,1.0,0.0
1150970756,587660,48464,49286,1.0,0.0,0.0
1151647256,20296,8,54,0.0,0.0,0.0
1146189662,81656,12,2502,0.0,1.0,0.0
1147305564,571464,25297,26074,0.0,0.0,0.0
1153754742,599056,43890,45708,0.0,1.0,0.0
1154029927,597612,40194,40544,0.0,1.0,0.0
1151310377,81980,9,961,0.0,1.0,0.0
1153724063,67236,9,434,0.0,0.0,0.0
1136294157,59896,8,1852,1.0,0.0,0.0
1150984824,592224,39364,40364,0.0,1.0,0.0
1142718295,582564,35477,36544,1.0,0.0,0.0
1140274554,569768,29007,29522,1.0,0.0,0.0
1153737313,80248,8,449,0.0,1.0,0.0
1152862299,609248,45302,45631,0.0,1.0,0.0
1151658487,72612,12,953,0.0,1.0,0.0
1142819210,583256,39642,43286,1.0,0.0,0.0
1153749999,71084,9,244,1.0,0.0,0.0
1149517941,596288,36577,37477,0.0,1.0,0.0
1153741364,80284,8,241,0.0,1.0,0.0
1145936683,582228,22076,23562,0.0,1.0,0.0
1151733403,25680,9,62,0.0,1.0,0.0
1151709859,75248,9,80,0.0,1.0,0.0
1149731543,616248,21983,22222,0.0,1.0,0.0
1148836078,602404,5800,6020,0.0,1.0,0.0
1146456469,588056,1229,1473,0.0,1.0,0.0
1146446895,588064,1258,1612,0.0,1.0,0.0
1145913120,574460,28862,39903,0.0,0.0,0.0
