Used Memory,OrigSiteID,AverageCPUTimeUsed,RunTime
601792,2,45558,46342
53596,2,3,3609
81660,2,19,5315
1564500,2,31808,35281
593844,2,43754,45546
1575472,2,26175,32530
1257572,2,22118,31136
76952,2,16,3683
65040,1,9,957
630908,0,1434,1749
579076,1,27726,28438
606428,2,39497,39846
25680,2,8,54
77680,2,24,1852
596940,2,41615,42156
25668,2,8,52
599568,2,50524,51018
1638872,2,33774,53309
25708,2,8,65
72776,2,25,1851
79240,2,8,74
1370080,2,18132,20495
586192,0,62909,63263
177036,2,48,426
637232,2,40556,40839
74996,2,8,964
1167696,2,21245,47005
588108,2,1240,1502
582912,0,37817,38030
1574512,2,31342,35900
71752,2,7,956
630680,0,1416,1700
582576,0,48084,50747
0,1,1,2
598156,2,5906,6132
1601400,2,26939,34406
598040,2,43074,49304
580728,2,22275,24109
598612,2,35916,36238
592068,0,54726,55285
25656,2,8,63
590664,1,50538,52248
1265208,2,24588,27892
76704,2,16,3677
25640,2,9,59
80244,2,9,424
626492,2,35501,35726
85184,2,9,253
593484,2,23662,25217
86460,2,18,1283
0,2,1,2
0,2,1,2
20292,1,11,73
604344,2,46892,53838
63888,2,4,197
72756,2,33,1848
25672,2,8,62
75628,2,19,1854
599452,2,39623,41779
584428,0,50270,52752
624828,2,31546,32444
0,2,1,1
556008,1,2564,3339
72232,2,8,169
72216,2,8,169
551556,1,7167,7790
583008,2,22033,23169
25708,2,7,57
25684,2,7,69
580852,1,44815,45457
610516,2,8054,8145
0,2,1,2
610960,2,20900,22529
571224,1,26895,28022
1593740,2,32343,38314
25668,2,7,74
25688,2,7,70
578648,1,27286,28025
80520,2,30,7342
77552,2,13,155
588128,2,1169,1444
81728,2,4,5603
584256,2,15385,16132
596684,2,41443,41749
585488,0,30023,31075
67720,2,8,57
57224,1,9,1851
603168,2,42920,259304
595072,2,35700,35960
588304,2,1245,1514
594436,2,35621,36370
80200,2,8,432
572576,1,21949,22928
583272,0,25769,29049
569540,1,14762,15376
569284,1,27015,27568
588116,2,1155,1593
68892,2,9,71
1565240,2,31465,34367
583888,1,41636,41951
1562784,2,31544,34905
0,2,16,61
16424,1,9,100
1095924,2,5569,5704
25652,2,8,69
76560,2,9,1850
64968,2,7,75
20284,1,10,53
86916,2,13,1684
598964,2,32449,32734
1570592,2,31683,36371
597460,2,39101,39453
20328,1,8,53
588088,2,1181,1477
588056,2,1165,1378
588168,2,1289,1610
0,2,1,2
580248,2,18701,19506
74828,2,9,69
597492,2,25795,27416
61976,0,32,2422
581952,0,46457,47578
83212,2,15,1528
585332,2,24411,25528
608900,2,34338,35154
580684,1,29834,31349
79356,2,8,65
1592044,2,31684,35358
588812,2,1164,1391
90112,2,36,7413
67184,1,9,440
649704,1,50368,51739
613532,2,18969,19412
616220,2,34251,34497
80296,2,8,434
587284,2,19149,20674
590124,0,62372,62825
79288,2,8,53
25676,2,7,56
603564,2,42912,43935
594812,2,32479,32934
79232,2,8,49
598080,2,43758,44376
555492,1,6666,7303
608024,2,38740,39626
101776,2,20,1392
25704,2,9,68
602600,2,41354,42375
86924,2,9,74
80232,2,8,428
584160,0,46049,47286
74304,2,9,82
80284,2,8,434
551976,1,1483,2138
587484,2,17014,18678
61060,1,10,1850
0,0,0,18124
599916,2,38846,39640
80180,2,9,243
580268,2,19870,20584
65132,2,9,66
2098328,1,2316,3707
589844,2,172812,173322
580176,2,14909,16457
618228,2,22548,22989
0,2,1,2
20268,0,8,58
588036,2,1158,1799
584036,1,45763,46842
598200,2,5695,5893
590256,2,172833,173225
20308,1,9,52
595100,1,50139,50485
0,2,0,40377
572864,1,31809,32351
599636,2,28442,28693
605788,2,32331,32776
595432,2,35450,36002
595824,2,32843,33385
110884,2,42,937
25656,2,9,57
25652,2,8,69
551592,1,1476,3262
15460,1,29,64
20316,1,9,61
