SubmitTime,Used Memory,OrigSiteID,AverageCPUTimeUsed,RunTime
1145529064,584104,0,54128,57459
1149094129,592252,0,6790,6978
1141475973,574828,1,28506,29601
1150970744,579964,1,35887,36747
1145336894,584744,0,65976,66401
1153725338,85164,2,7,245
1147329787,603580,2,17486,18219
1148075853,617288,2,35920,36198
1139546803,571008,1,50279,51243
1152168147,25684,2,9,61
1146447584,588132,2,1212,1509
1150983168,1570988,2,31530,37782
1145890374,583508,2,21647,24433
1152787532,636196,2,40978,41491
1151657629,20268,0,8,56
1149576801,585396,0,36230,37280
1153229100,0,2,1,2
1151303905,61820,1,32,1851
1148049551,0,0,1,2
1151642796,25680,2,8,55
1136280135,59940,1,8,1853
1151723587,71980,2,8,957
1147429392,571448,0,21068,21611
1151646236,20280,0,8,54
1147297575,571244,1,22062,25801
1153107850,599444,2,44445,45123
1153723401,67264,0,8,242
1149121425,586444,0,6598,6820
1150446756,600784,2,44218,46911
1153222131,597592,2,39869,40507
1146412391,517756,1,1337,1567
1153722379,71180,0,9,240
1151652793,33632,1,9,51
1153746528,25716,2,8,52
1151748594,25668,2,9,72
1148061935,80316,2,13,333
1149887541,581300,1,49047,52520
1153722919,20332,0,9,53
1136494076,646556,1,47696,48814
1151620514,74744,2,8,81
1151652007,64236,0,9,58
1151445414,596588,2,34824,35547
1154548515,596968,2,172822,173290
1151413328,581700,0,39286,39743
1151856502,594948,2,34138,35874
1152341298,83044,2,19,209
1146667870,73612,1,28,4833
1153741360,67312,1,9,246
