SubmitTime,WaitTime,RunTime,NProcs,AverageCPUTimeUsed,Used Memory,ReqNProcs,ReqTime,ReqMemory,Status,UserID,GroupID,ExecutableID,QueueID,PartitionID,OrigSiteID,LastRunSiteID
1136278927,2,1851,1,8,59888,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136279288,2,1850,1,9,59876,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136279289,1,1851,1,8,57060,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136279289,1,1851,1,8,57168,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136279290,2,465,1,239,972600,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136279644,0,1852,1,10,57172,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136279644,1,1849,1,8,57140,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136279644,1,1849,1,8,57048,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136279647,0,1853,1,8,59860,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136279647,1,1852,1,8,59916,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280124,1,506,1,267,952944,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280131,1,1852,1,8,57092,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280131,1,1852,1,8,59912,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280131,1,1852,1,8,57136,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280133,1,1850,1,8,57164,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280133,1,1850,1,8,59892,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280133,2,1853,1,8,59896,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280135,1,1853,1,8,59924,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280135,1,1853,1,8,59940,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280136,0,1854,1,9,57128,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280244,2,1849,1,8,59828,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280423,1,1850,1,8,59868,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280424,0,1850,1,9,57132,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280424,0,369,1,155,888816,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280425,1,1850,1,8,57196,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280724,0,1851,1,8,58212,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280724,0,505,1,284,953248,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280724,0,1849,1,9,59904,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280726,0,1851,1,9,57136,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280726,0,960,1,202,954548,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280731,1,402,1,181,932792,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280731,1,1850,1,9,57148,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280731,1,1851,1,10,59816,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280733,1,1850,1,9,59900,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136280733,1,1850,1,8,59856,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281263,0,1850,1,8,59932,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281263,1,1850,1,8,58720,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281263,1,1850,1,7,58212,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281265,1,1850,1,8,59836,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281265,1,1851,1,8,57120,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281266,1,1852,1,8,57140,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281267,1,1851,1,10,59896,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281267,1,1851,1,9,59868,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281268,227,1852,1,8,57144,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281269,226,1852,1,8,59924,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281685,1,1851,1,8,59920,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281692,1,1850,1,9,57168,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281692,1,1850,1,9,57164,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281692,1,1850,1,8,57180,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281695,290,1852,1,8,57228,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281695,290,1853,1,8,59892,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281695,290,1852,1,8,57160,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281697,292,1850,1,8,57148,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281697,292,1850,1,8,59860,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281697,292,1850,1,8,59884,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281923,67,1850,1,10,59844,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281923,67,1851,1,8,59900,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136281923,68,1851,1,8,59744,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136282435,1,1850,1,9,57152,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136282438,1,1860,1,9,57192,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136283514,2,1853,1,8,59908,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136283514,2,1853,1,9,57164,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136283514,2,1853,1,8,57136,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136283517,0,1852,1,9,59616,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136283517,1,1851,1,8,57132,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136283517,0,1852,1,8,59892,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136283519,1,1851,1,8,59872,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136283519,1,1851,1,8,59916,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136283520,0,1850,1,8,57124,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136283521,1,1850,1,8,59704,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136283634,1,1850,1,8,59904,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136284174,0,1853,1,9,57156,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136284174,0,1850,1,8,57164,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136284174,3,1851,1,8,57176,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136284176,1,1851,1,9,57120,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136284176,1,1850,1,8,57152,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136284176,1,1851,1,9,59932,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136284179,1,1850,1,8,57144,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136284179,1,1850,1,9,57176,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136284179,1,1850,1,8,57224,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136284180,1,1851,1,8,57212,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136284715,1,1853,1,8,59972,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136284715,1,1853,1,8,57148,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136284715,1,1853,1,8,59928,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136284717,0,1852,1,8,57132,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136284717,0,1852,1,8,59564,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136284894,1,1850,1,8,57132,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136284894,1,1851,1,9,59644,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136284895,1,1850,1,8,57160,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136284896,1,1850,1,8,57144,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136284896,1,1850,1,9,57196,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136285616,1,1853,1,9,59900,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136285622,1,1850,1,8,59896,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136285623,0,1850,1,8,59872,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136285623,0,1850,1,8,59900,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136285625,1,1851,1,8,57160,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136285625,1,1851,1,8,59932,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136285625,1,1850,1,9,59908,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136285627,1,1850,1,8,59932,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136285627,1,1850,1,8,59836,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136285628,1,1850,1,8,59924,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136285735,1,1849,1,8,58808,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136285738,1,1851,1,8,59872,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136286308,1,1852,1,8,59852,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136286316,1,1851,1,8,59604,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136286316,1,1851,1,8,59848,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136286316,1,1851,1,8,59924,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136286318,1,1852,1,8,59888,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136286318,1,1850,1,8,57100,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136286318,1,1852,1,9,59860,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136286320,1,1851,1,8,59896,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136286320,1,1851,1,9,59892,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136286321,0,1851,1,9,59848,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136286789,1,1851,1,8,57140,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136286794,0,1851,1,8,59632,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136286794,0,1850,1,8,59912,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136286794,0,1850,1,8,58696,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136286796,1,1850,1,8,59892,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136287148,1,1849,1,9,57136,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136287153,1,1851,1,9,57164,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136287153,1,1850,1,9,59912,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136287154,1,1851,1,9,59868,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136287155,1,1851,1,9,57168,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
